# Total data length 50 seconds
# 20 ms per point
# Trigger was at 5% (line 125), t=0
# time (s)  Vtemp(V)
19.7444,1.21666
19.7644,1.21663
19.7844,1.21656
19.8044,1.2165
19.8244,1.2165
19.8444,1.21641
19.8644,1.21634
19.8844,1.21628
19.9044,1.21628
19.9244,1.21619
19.9444,1.21613
19.9644,1.21609
19.9844,1.21609
20.0044,1.21609
20.0244,1.21603
20.0444,1.21594
20.0644,1.21588
20.0844,1.21588
20.1044,1.21581
20.1244,1.21578
20.1444,1.21572
20.1644,1.21566
20.1844,1.21566
20.2044,1.21563
20.2244,1.21556
20.2444,1.2155
20.2644,1.21547
20.2844,1.21547
20.3044,1.21541
20.3244,1.21531
20.3444,1.21519
20.3644,1.21519
20.3844,1.21519
20.4044,1.21516
20.4244,1.21516
20.4444,1.21503
20.4644,1.21503
20.4844,1.21497
20.5044,1.21494
20.5244,1.21488
20.5444,1.21481
20.5644,1.21478
20.5844,1.21478
20.6044,1.21472
20.6244,1.21463
20.6444,1.21463
20.6644,1.21456
20.6844,1.2145
20.7044,1.2145
20.7244,1.21441
20.7444,1.21434
20.7644,1.21431
20.7844,1.21431
20.8044,1.21425
20.8244,1.21419
20.8444,1.21416
20.8644,1.21416
20.8844,1.21409
20.9044,1.21403
20.9244,1.214
20.9444,1.21394
20.9644,1.21388
20.9844,1.21384
21.0044,1.21384
21.0244,1.21372
21.0444,1.21369
21.0644,1.21369
21.0844,1.21363
21.1044,1.21356
21.1244,1.21353
21.1444,1.21347
21.1644,1.21341
21.1844,1.21341
21.2044,1.21334
21.2244,1.21325
21.2444,1.21319
21.2644,1.21316
21.2844,1.21309
21.3044,1.21309
21.3244,1.213
21.3444,1.21294
21.3644,1.21294
21.3844,1.21284
21.4044,1.21284
21.4244,1.21278
21.4444,1.21272
21.4644,1.21272
21.4844,1.21263
21.5044,1.21263
21.5244,1.21256
21.5444,1.21253
21.5644,1.21247
21.5844,1.21241
21.6044,1.21231
21.6244,1.21225
21.6444,1.21216
21.6644,1.21216
21.6844,1.21209
21.7044,1.21209
21.7244,1.212
21.7444,1.21194
21.7644,1.21191
21.7844,1.21191
21.8044,1.21184
21.8244,1.21178
21.8444,1.21169
21.8644,1.21163
21.8844,1.21156
21.9044,1.21156
21.9244,1.21153
21.9444,1.21147
21.9644,1.21138
21.9844,1.21138
22.0044,1.21131
22.0244,1.21125
22.0444,1.21122
22.0644,1.21116
22.0844,1.21109
22.1044,1.21109
22.1244,1.211
22.1444,1.21094
22.1644,1.21091
22.1844,1.21084
22.2044,1.21084
22.2244,1.21069
22.2444,1.21063
22.2644,1.21063
22.2844,1.21059
22.3044,1.21053
22.3244,1.21047
22.3444,1.21044
22.3644,1.21031
22.3844,1.21031
22.4044,1.21028
22.4244,1.21016
22.4444,1.21009
22.4644,1.21006
22.4844,1.21
22.5044,1.20994
22.5244,1.20991
22.5444,1.20984
22.5644,1.20978
22.5844,1.20975
22.6044,1.20975
22.6244,1.20969
22.6444,1.20963
22.6644,1.20959
22.6844,1.20959
22.7044,1.20953
22.7244,1.20944
22.7444,1.20944
22.7644,1.20931
22.7844,1.20928
22.8044,1.20928
22.8244,1.20922
22.8444,1.20916
22.8644,1.20913
22.8844,1.20906
22.9044,1.20906
22.9244,1.20897
22.9444,1.20884
22.9644,1.20884
22.9844,1.20881
23.0044,1.20875
23.0244,1.20869
23.0444,1.20859
23.0644,1.20853
23.0844,1.20847
23.1044,1.20847
23.1244,1.20838
23.1444,1.20838
23.1644,1.20831
23.1844,1.20828
23.2044,1.20822
23.2244,1.20822
23.2444,1.20806
23.2644,1.20806
23.2844,1.208
23.3044,1.208
23.3244,1.20797
23.3444,1.20784
23.3644,1.20781
23.3844,1.20775
23.4044,1.20769
23.4244,1.20766
23.4444,1.20759
23.4644,1.2075
23.4844,1.20744
23.5044,1.20744
23.5244,1.20738
23.5444,1.20734
23.5644,1.20734
23.5844,1.20728
23.6044,1.20722
23.6244,1.20713
23.6444,1.20706
23.6644,1.207
23.6844,1.20697
23.7044,1.20691
23.7244,1.20684
23.7444,1.20675
23.7644,1.20669
23.7844,1.20666
23.8044,1.20659
23.8244,1.20653
23.8444,1.2065
23.8644,1.2065
23.8844,1.2065
23.9044,1.20644
23.9244,1.20634
23.9444,1.20628
23.9644,1.20622
23.9844,1.20622
24.0044,1.20619
24.0244,1.20613
24.0444,1.20603
24.0644,1.20597
24.0844,1.20591
24.1044,1.20591
24.1244,1.20581
24.1444,1.20575
24.1644,1.20572
24.1844,1.20566
24.2044,1.20572
24.2244,1.20566
24.2444,1.20556
24.2644,1.20556
24.2844,1.2055
24.3044,1.20544
24.3244,1.20538
24.3444,1.20528
24.3644,1.20522
24.3844,1.20522
24.4044,1.20519
24.4244,1.20506
24.4444,1.20503
24.4644,1.20503
24.4844,1.20497
24.5044,1.20497
24.5244,1.20491
24.5444,1.20488
24.5644,1.20481
24.5844,1.20475
24.6044,1.20475
